Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;KAU002__Kauffaelle__Anzahl;FLC023__Veraeusserte_Flaeche__1000_qm;KAU004__Durchschnittlicher_Kaufwert__EUR/qm
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;18;17;73,54
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;PERART01;Natürliche Person;18014;12416;102,90
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;687;2755;89,96
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;;Insgesamt;18999;15669;107,95
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;PERART01;Natürliche Person;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;731;905;440,46
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;PERART01;Natürliche Person;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;24;26;33,18
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;PERART01;Natürliche Person;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;675;781;68,48
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;PERART01;Natürliche Person;ERWAT4;Erwerber;PERART01;Natürliche Person;31739;26957;110,65
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;PERART01;Natürliche Person;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;1539;3872;114,86
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;PERART01;Natürliche Person;ERWAT4;Erwerber;;Insgesamt;34708;32542;119,25
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;RECHTSF20;Übrige juristische Personen;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;162;416;675,14
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;RECHTSF20;Übrige juristische Personen;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;8;12;466,08
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;RECHTSF20;Übrige juristische Personen;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;213;428;65,69
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;RECHTSF20;Übrige juristische Personen;ERWAT4;Erwerber;PERART01;Natürliche Person;11220;8230;117,81
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;RECHTSF20;Übrige juristische Personen;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;1202;4190;198,32
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;RECHTSF20;Übrige juristische Personen;ERWAT4;Erwerber;;Insgesamt;12805;13275;159,32
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;;Insgesamt;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;1347;2140;505,37
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;;Insgesamt;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;52;85;97,47
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;;Insgesamt;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;957;1272;66,83
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;;Insgesamt;ERWAT4;Erwerber;PERART01;Natürliche Person;65495;50520;111,94
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;;Insgesamt;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;3681;11412;144,94
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND01;Baureifes Land;VKFAT2;Veräußerer;;Insgesamt;ERWAT4;Erwerber;;Insgesamt;71532;65429;129,67
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;7;23;108,40
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;-;-;-
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;.;.;.
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;PERART01;Natürliche Person;22;20;91,97
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;3;14;51,13
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;;Insgesamt;33;58;87,98
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;.;.;.
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;.;.;.
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;7;283;25,00
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;PERART01;Natürliche Person;34;45;29,80
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;11;167;85,22
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;;Insgesamt;55;524;44,31
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;13;102;40,79
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;.;.;.
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;3;19;10,88
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;PERART01;Natürliche Person;312;374;27,19
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;64;695;17,28
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;;Insgesamt;393;1221;21,88
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;PERART01;Natürliche Person;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;26;253;32,56
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;PERART01;Natürliche Person;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;12;326;5,41
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;PERART01;Natürliche Person;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;192;1233;19,96
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;PERART01;Natürliche Person;ERWAT4;Erwerber;PERART01;Natürliche Person;724;1485;23,85
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;PERART01;Natürliche Person;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;153;1604;20,69
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;PERART01;Natürliche Person;ERWAT4;Erwerber;;Insgesamt;1107;4901;21,06
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;RECHTSF20;Übrige juristische Personen;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;4;16;178,11
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;RECHTSF20;Übrige juristische Personen;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;.;.;.
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;RECHTSF20;Übrige juristische Personen;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;42;259;21,35
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;RECHTSF20;Übrige juristische Personen;ERWAT4;Erwerber;PERART01;Natürliche Person;174;310;21,29
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;RECHTSF20;Übrige juristische Personen;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;79;1136;37,44
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;RECHTSF20;Übrige juristische Personen;ERWAT4;Erwerber;;Insgesamt;300;1723;33,41
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;;Insgesamt;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;52;400;45,65
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;;Insgesamt;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;15;382;5,41
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;;Insgesamt;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;245;1795;20,86
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;;Insgesamt;ERWAT4;Erwerber;PERART01;Natürliche Person;1266;2234;24,79
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;;Insgesamt;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;310;3616;28,40
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND02;Rohbauland;VKFAT2;Veräußerer;;Insgesamt;ERWAT4;Erwerber;;Insgesamt;1888;8428;25,61
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;12;90;177,43
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;10;73;11,08
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;57;172;62,66
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;PERART01;Natürliche Person;47;122;52,06
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;34;336;60,38
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;BAUHERR02;Wohnungsunternehmen;ERWAT4;Erwerber;;Insgesamt;160;792;68,33
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;-;-;-
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;KRPBUND03;Bund / Länder;24;192;185,76
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;KRPGEMEIN01;Gemeinden / Gemeindeverbände;73;226;8,22
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;PERART01;Natürliche Person;52;440;22,67
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;RECHTSF20;Übrige juristische Personen;49;382;69,94
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;KRPBUND03;Bund / Länder;ERWAT4;Erwerber;;Insgesamt;198;1241;59,87
61511;Statistik der Kaufwerte für Bauland;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;BAULA2;Baulandarten;BAULAND06;Sonstiges Bauland;VKFAT2;Veräußerer;KRPGEMEIN01;Gemeinden / Gemeindeverbände;ERWAT4;Erwerber;BAUHERR02;Wohnungsunternehmen;9;17;82,93
